,,I32,I64,I32M,I64M
i32.const,0x0a,1,,,
i64.const,0x0b,,1,,
f64.const,0x0c,,,,
f32.const,0x0d,,,,
get_local,0x0e,1,1,,
set_local,0x0f,1,1,,
call,0x12,1,1,,
call_indirect,0x13,1,1,,
call_import,0x1f,1,1,,
i32.load8_s,0x20,1,,,
i32.load8_u,0x21,1,,,
i32.load16_s,0x22,1,,,
i32.load16_u,0x23,1,,,
i64.load8_s,0x24,,1,,
i64.load8_u,0x25,,1,,
i64.load16_s,0x26,,1,,
i64.load16_u,0x27,,1,,
i64.load32_s,0x28,,1,,
i64.load32_u,0x29,,1,,
i32.load,0x2a,1,,,
i64.load,0x2b,,1,,
f32.load,0x2c,,,,
f64.load,0x2d,,,,
i32.store8,0x2e,1,,,
i32.store16,0x2f,1,,,
i64.store8,0x30,,1,,
i64.store16,0x31,,1,,
i64.store32,0x32,,1,,
i32.store,0x33,1,,,
i64.store,0x34,,1,,
f32.store,0x35,,,,
f64.store,0x36,,,,
memory_size,0x3b,,,,
grow_memory,0x39,,,,
i32.add,0x40,1,,,
i32.sub,0x41,1,,,
i32.mul,0x42,,,1,
i32.div_s,0x43,,,1,
i32.div_u,0x44,,,1,
i32.rem_s,0x45,,,1,
i32.rem_u,0x46,,,1,
i32.and,0x47,1,,,
i32.or,0x48,1,,,
i32.xor,0x49,1,,,
i32.shl,0x4a,1,,,
i32.shr_u,0x4b,1,,,
i32.shr_s,0x4c,1,,,
i32.rotr,0xb6,1,,,
i32.rotl,0xb7,1,,,
i32.eq,0x4d,1,,,
i32.ne,0x4e,1,,,
i32.lt_s,0x4f,1,,,
i32.le_s,0x50,1,,,
i32.lt_u,0x51,1,,,
i32.le_u,0x52,1,,,
i32.gt_s,0x53,1,,,
i32.ge_s,0x54,1,,,
i32.gt_u,0x55,1,,,
i32.ge_u,0x56,1,,,
i32.clz,0x57,1,,,
i32.ctz,0x58,1,,,
i32.popcnt,0x59,1,,,
i32.eqz,0x5a,1,,,
i64.add,0x5b,,1,,
i64.sub,0x5c,,1,,
i64.mul,0x5d,,,,1
i64.div_s,0x5e,,,,1
i64.div_u,0x5f,,,,1
i64.rem_s,0x60,,,,1
i64.rem_u,0x61,,,,1
i64.and,0x62,,,1,
i64.or,0x63,,,1,
i64.xor,0x64,,,1,
i64.shl,0x65,,,1,
i64.shr_u,0x66,,,1,
i64.shr_s,0x67,,,1,
i64.rotr,0xb8,,,1,
i64.rotl,0xb9,,,1,
i64.eq,0x68,,,1,
i64.ne,0x69,,,1,
i64.lt_s,0x6a,,,1,
i64.le_s,0x6b,,,1,
i64.lt_u,0x6c,,,1,
i64.le_u,0x6d,,,1,
i64.gt_s,0x6e,,,1,
i64.ge_s,0x6f,,,1,
i64.gt_u,0x70,,,1,
i64.ge_u,0x71,,,1,
i64.clz,0x72,,,1,
i64.ctz,0x73,,,1,
i64.popcnt,0x74,,,1,
i64.eqz,0xba,,,1,
f32.add,0x75,,,,
f32.sub,0x76,,,,
f32.mul,0x77,,,,
f32.div,0x78,,,,
f32.min,0x79,,,,
f32.max,0x7a,,,,
f32.abs,0x7b,,,,
f32.neg,0x7c,,,,
f32.copysign,0x7d,,,,
f32.ceil,0x7e,,,,
f32.floor,0x7f,,,,
f32.trunc,0x80,,,,
f32.nearest,0x81,,,,
f32.sqrt,0x82,,,,
f32.eq,0x83,,,,
f32.ne,0x84,,,,
f32.lt,0x85,,,,
f32.le,0x86,,,,
f32.gt,0x87,,,,
f32.ge,0x88,,,,
f64.add,0x89,,,,
f64.sub,0x8a,,,,
f64.mul,0x8b,,,,
f64.div,0x8c,,,,
f64.min,0x8d,,,,
f64.max,0x8e,,,,
f64.abs,0x8f,,,,
f64.neg,0x90,,,,
f64.copysign,0x91,,,,
f64.ceil,0x92,,,,
f64.floor,0x93,,,,
f64.trunc,0x94,,,,
f64.nearest,0x95,,,,
f64.sqrt,0x96,,,,
f64.eq,0x97,,,,
f64.ne,0x98,,,,
f64.lt,0x99,,,,
f64.le,0x9a,,,,
f64.gt,0x9b,,,,
f64.ge,0x9c,,,,
i32.trunc_s/f32,0x9d,,,,
i32.trunc_s/f64,0x9e,,,,
i32.trunc_u/f32,0x9f,,,,
i32.trunc_u/f64,0xa0,,,,
i32.wrap/i64,0xa1,,1,,
i64.trunc_s/f32,0xa2,,,,
i64.trunc_s/f64,0xa3,,,,
i64.trunc_u/f32,0xa4,,,,
i64.trunc_u/f64,0xa5,,,,
i64.extend_s/i32,0xa6,,1,,
i64.extend_u/i32,0xa7,,1,,
f32.convert_s/i32,0xa8,,,,
f32.convert_u/i32,0xa9,,,,
f32.convert_s/i64,0xaa,,,,
f32.convert_u/i64,0xab,,,,
f32.demote/f64,0xac,,,,
f32.reinterpret/i32,0xad,,,,
f64.convert_s/i32,0xae,,,,
f64.convert_u/i32,0xaf,,,,
f64.convert_s/i64,0xb0,,,,
f64.convert_u/i64,0xb1,,,,
f64.promote/f32,0xb2,,,,
f64.reinterpret/i64,0xb3,,,,
i32.reinterpret/f32,0xb4,,,,
i64.reinterpret/f64,0xb5,,,,
